posicao;titulo;autor;preco;dt
43;Machado de Assis Vida e Obra 4...;R. Magalhães Júnior;25.0;2024-05-24
44;O Visconde Que Me Amava - os B...;Julia Quinn;20.0;2024-05-24
45;Torto arado;Vieira Junior, Itamar;38.0;2024-05-24
46;O Mar de Monstros;Rick Riordan;14.0;2024-05-24
47;A Hora da Estrela;Clarice Lispector;14.0;2024-05-24
48;A Cidade Perdida;J. L. Garcia Sanchez;6.0;2024-05-24
49;O Capital;Karl Marx;7.0;2024-05-24
50;Os Problemas da Família Gorgon...;Eva Furnari;19.99;2024-05-24
51;Senhora;José de Alencar;6.0;2024-05-24
52;Perguntas e Respostas de Clíni...;Bussamara Neme / Joao A...;7.0;2024-05-24
53;Uma Breve Teoria do Poder;Ives Gandra da Silva Ma...;14.9;2024-05-24
54;Cálculo Volume 1;James Stewart;20.0;2024-05-24
55;Os Exilados da Capela;Edgard Armond;19.0;2024-05-24
56;Você Pode Curar Sua Vida;Louise L. Hay;6.0;2024-05-24
57;Pântano de Sangue;Pedro Bandeira;6.0;2024-05-24
58;A Insustentável Leveza do Ser;Milan Kundera;12.0;2024-05-24
59;A Ponte;Rocha Eliandro;18.0;2024-05-24
60;Fadas Guerreiras;Carlos Augusto Cacá;6.0;2024-05-24
61;Maze Runner - Correr Ou Morrer;James Dashner;6.5;2024-05-24
62;Projeciologia;Waldo Vieira;222.5;2024-05-24
63;Uma Prova do Céu;Dr. Eben Alexander III;7.0;2024-05-24
64;Os 5 Desafios das Equipes;Patrick Lencioni;16.0;2024-05-24
65;O Poder da Autorresponsabilida...;Paulo Vieira;9.99;2024-05-24
66;Terapia Cognitiva Teoria e Prá...;Judith S. Beck;60.0;2024-05-24
67;Fundamentos de Matemática Elem...;Gelson Iezzi & Carlos M...;159.9;2024-05-24
68;Diário de um Banana - Rodrick ...;Jeff Kinney;24.0;2024-05-24
69;Manual de Tratamento do Câncer...;Renato Prado Costa;15.0;2024-05-24
70;Extraordinário;R. J. Palacio;20.0;2024-05-24
71;Crime e Castigo;Fiódor Dostoiévski;15.0;2024-05-24
72;Uma Breve História do Mundo;Geoffrey Blainey;6.0;2024-05-24
73;A Casa dos Espíritos;Isabel Allende;21.99;2024-05-24
74;Mandela: o Africano de Todas a...;Alain Serres / Zau;29.0;2024-05-24
75;Como Passar Em Provas e Concur...;William Douglas;9.99;2024-05-24
76;Quarto de Despejo - Diário de ...;Carolina Maria de Jesus;40.0;2024-05-24
77;O Feminismo é para todo mundo;Bell Hooks;29.9;2024-05-24
78;O Problema dos Três Corpos;Cixin Liu;40.0;2024-05-24
79;Abrapracabra!;Fernando Vilela;33.0;2024-05-24
80;Vidas Secas;Graciliano Ramos;6.0;2024-05-24
81;Mais Esperto Que o Diabo;Hill Napoleon;13.0;2024-05-24
82;Sapiens - uma Breve Historia d...;Yuval Noah Harari;29.0;2024-05-24
83;A Cerimônia do Adeus;Simone de Beauvoir;36.0;2024-05-24
84;Iracema;José de Alencar;6.0;2024-05-24
85;O Poder do Agora;Eckhart Tolle;12.0;2024-05-24
86;O Homem Que Calculava;Malba Tahan;19.0;2024-05-24
87;O Caminho de Deus;Moshé Chaim Luzzatto;28.0;2024-05-24
88;Para o Dia Nascer Feliz;José Carlos de Lucca;6.0;2024-05-24
89;A Ética Protestante e o Espíri...;Max Weber;9.9;2024-05-24
90;Guia Prático da Auto-suficiênc...;John Seymour;70.23;2024-05-24
91;O Alquimista;Paulo Coelho;6.0;2024-05-24
92;O Castelo dos Destinos Cruzado...;Italo Calvino;28.0;2024-05-24
93;A Volta ao Mundo Em 80 Dias;Júlio Verne;6.0;2024-05-24
94;O Menino sem Imaginação;Carlos Eduardo Novaes;10.0;2024-05-24
95;Robóticos;Alexandre de Castro Gom...;50.0;2024-05-24
96;O Príncipe da Índia;Lewis Wallace;6.0;2024-05-24
97;Reflexões Sobre a Vaidade dos ...;Matias Aires;10.0;2024-05-24
98;Pele Negra Máscaras Brancas;Frantz Fanon;52.04;2024-05-24
99;Odisséia;Homero;6.0;2024-05-24
100;English Grammar in Use;Raymond Murphy;9.0;2024-05-24
